Super_region,Region,location_gbd,gbd2019,location_wb,location_who,location_ncdrisc,NCD_region,SDI,World_bank_2015,iso3,LocID,wb2021
North Africa and Middle East,North Africa and Middle East,Qatar,Qatar,Qatar,Qatar,Qatar,"Central Asia, Middle East and North Africa",High-middle SDI,HIC,QAT,634,HIC
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Romania,Romania,Romania,Romania,Romania,Central and Eastern Europe,High-middle SDI,UMIC,ROU,642,UMIC
"Central Europe, Eastern Europe, and Central Asia",Eastern Europe,Russian Federation,Russian Federation,Russian Federation,Russian Federation,Russian Federation,Central and Eastern Europe,High-middle SDI,UMIC,RUS,643,UMIC
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Rwanda,Rwanda,Rwanda,Rwanda,Rwanda,Sub-Saharan Africa,Low SDI,LIC,RWA,646,LIC
Latin America and Caribbean,Caribbean,Saint Lucia,Saint Lucia,St. Lucia,Saint Lucia,Saint Lucia,NA,Middle SDI,UMIC,LCA,662,UMIC
Latin America and Caribbean,Caribbean,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,St. Vincent and the Grenadines,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,NA,Middle SDI,UMIC,VCT,670,UMIC
"Southeast Asia, East Asia, and Oceania",Oceania,Samoa,Samoa,Samoa,Samoa,Samoa,NA,Low-middle SDI,LMIC,WSM,882,LMIC
Sub-Saharan Africa,Western Sub-Saharan Africa,Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,Sao Tome and Principe,NA,Low SDI,LMIC,STP,678,LMIC
North Africa and Middle East,North Africa and Middle East,Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia,"Central Asia, Middle East and North Africa",High-middle SDI,HIC,SAU,682,HIC
Sub-Saharan Africa,Western Sub-Saharan Africa,Senegal,Senegal,Senegal,Senegal,Senegal,Sub-Saharan Africa,Low SDI,LIC,SEN,686,LMIC
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Serbia,Serbia,Serbia,Serbia,Serbia,Central and Eastern Europe,High-middle SDI,UMIC,SRB,688,UMIC
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Seychelles,Seychelles,Seychelles,Seychelles,Seychelles,NA,Middle SDI,HIC,SYC,690,HIC
Sub-Saharan Africa,Western Sub-Saharan Africa,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone,Sub-Saharan Africa,Low SDI,LIC,SLE,694,LIC
High-income,High-income Asia Pacific,Singapore,Singapore,Singapore,Singapore,Singapore,High-income Asia Pacific,High SDI,HIC,SGP,702,HIC
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Slovakia,Slovakia,Slovak Republic,Slovakia,Slovakia,Central and Eastern Europe,High SDI,HIC,SVK,703,HIC
"Central Europe, Eastern Europe, and Central Asia",Central Europe,Slovenia,Slovenia,Slovenia,Slovenia,Slovenia,Central and Eastern Europe,High SDI,HIC,SVN,705,HIC
"Southeast Asia, East Asia, and Oceania",Oceania,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Solomon Islands,Oceania,Low SDI,LMIC,SLB,90,LMIC
Sub-Saharan Africa,Eastern Sub-Saharan Africa,Somalia,Somalia,Somalia,Somalia,Somalia,Sub-Saharan Africa,Low SDI,LIC,SOM,706,LIC
Sub-Saharan Africa,Southern Sub-Saharan Africa,South Africa,South Africa,South Africa,South Africa,South Africa,Sub-Saharan Africa,Middle SDI,UMIC,ZAF,710,UMIC
High-income,High-income Asia Pacific,South Korea,Republic of Korea,"Korea, Rep.",Republic of Korea,South Korea,High-income Asia Pacific,High SDI,HIC,KOR,410,HIC
Sub-Saharan Africa,Eastern Sub-Saharan Africa,South Sudan,South Sudan,South Sudan,South Sudan,South Sudan,Sub-Saharan Africa,Low SDI,LIC,SSD,728,LIC
High-income,Western Europe,Spain,Spain,Spain,Spain,Spain,High-income Western countries,High-middle SDI,HIC,ESP,724,HIC
"Southeast Asia, East Asia, and Oceania",Southeast Asia,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,East and South East Asia,Middle SDI,LMIC,LKA,144,LMIC
