"","Country","World_bank","NCD_region","iso3","Region","Class","senario","total_cost_2023","total_cost_2024","total_cost_2025","total_cost_2026","total_cost_2027","total_cost_2028","total_cost_2029","total_cost_2030","total_cost_all"
"170","Pakistan","LMIC","South Asia","PAK","South Asia","LMIC","Baseline",1550732107.18749,1598118121.163,1646636813.89314,1698605094.47098,1750729631.64983,1803473424.53514,1857575536.44348,1913502383.40213,13819373112.7452
"171","Panama","UMIC","Latin America and Caribbean","PAN","Latin America and Caribbean","UMIC","Adjusted",446617603.438869,479190487.470929,513493092.484757,548892443.87738,585872437.958224,624476239.973304,664723303.011481,706671931.371679,4569937539.58662
"172","Panama","UMIC","Latin America and Caribbean","PAN","Latin America and Caribbean","UMIC","Baseline",427456604.51831,439704142.025944,452301115.250736,464557346.52939,477017159.742403,489673686.176076,502500605.3603,515499609.176877,3768710268.78003
"173","Papua New Guinea","LMIC","Oceania","PNG","Oceania","LMIC","Adjusted",92516513.7546779,105311789.099322,118901768.956732,133520637.016103,148903257.169605,165060740.026057,182001937.410484,199730058.026316,1145946701.4593
"174","Papua New Guinea","LMIC","Oceania","PNG","Oceania","LMIC","Baseline",82768797.0307986,85154428.8130224,87585026.0056897,90169692.3984915,92779129.2137001,95414151.0258912,98077628.2997191,100773295.946254,732722148.733567
"175","Paraguay","UMIC","Latin America and Caribbean","PRY","Latin America and Caribbean","UMIC","Adjusted",181512086.117084,196198574.172862,211649012.155356,227926288.698049,244796666.761906,262285529.412855,280423057.063413,299232101.248209,1904023315.62973
"176","Paraguay","UMIC","Latin America and Caribbean","PRY","Latin America and Caribbean","UMIC","Baseline",171550298.783011,175664629.769729,179839141.88305,184073753.50582,188302904.656103,192547097.105946,196827374.032952,201157363.426285,1489962563.1629
"177","Peru","UMIC","Latin America and Caribbean","PER","Latin America and Caribbean","UMIC","Adjusted",853695672.515858,875099231.787593,897119128.58269,920383679.045737,943705045.499935,967222423.783105,991143352.162969,1015670127.12231,7464038660.5002
"178","Peru","UMIC","Latin America and Caribbean","PER","Latin America and Caribbean","UMIC","Baseline",853532270.639195,874934332.752483,896952690.580707,920215660.696516,943535432.259577,967051212.349193,990970559.201961,1015495781.82317,7462687940.3028
"179","Philippines","LMIC","East and South East Asia","PHL","East and South East Asia","LMIC","Adjusted",1611978033.91504,1775856039.00141,1952217726.18514,2138886629.91124,2337047735.67102,2546512462.60081,2766006943.91857,2994763488.81099,18123269060.0142
"180","Philippines","LMIC","East and South East Asia","PHL","East and South East Asia","LMIC","Baseline",1500740336.75471,1544579354.06967,1590427519.79014,1635433635.04507,1682469848.43172,1731014221.69934,1779962408.63627,1828750718.37959,13293378042.8065
"181","Romania","UMIC","Central and Eastern Europe","ROU","Central and Eastern Europe","UMIC","Adjusted",2705810253.16345,2830074879.08713,2957083333.71629,3100034191.21462,3241527436.70279,3382083434.1396,3522832112.11577,3664044922.67174,25403490562.8114
"182","Romania","UMIC","Central and Eastern Europe","ROU","Central and Eastern Europe","UMIC","Baseline",2596833078.15015,2608787914.88059,2618494554.25411,2635875802.87965,2648866654.60764,2658695103.44379,2666916253.08906,2674254382.56583,21108723743.8708
"183","Russian Federation","UMIC","Central and Eastern Europe","RUS","Central and Eastern Europe","UMIC","Adjusted",12428601546.599,12602457862.2145,12771346844.8643,12987579621.7767,13187548278.6998,13381897130.1477,13575870336.8393,13768155855.6984,104703457476.84
"184","Russian Federation","UMIC","Central and Eastern Europe","RUS","Central and Eastern Europe","UMIC","Baseline",12377813684.3625,12501904989.112,12620693951.2698,12786205142.1291,12935476219.6921,13079133455.1336,13222281302.3441,13363486647.1424,102886995391.186
"185","Rwanda","LIC","Sub-Saharan Africa","RWA","Sub-Saharan Africa","LIC","Adjusted",12759408.1420437,13225892.3055501,13703280.3347575,14206345.3972378,14712359.7858067,15224859.3041847,15750219.0782943,16293153.7960272,115875518.143902
"186","Rwanda","LIC","Sub-Saharan Africa","RWA","Sub-Saharan Africa","LIC","Baseline",12750708.9436248,13216971.7647577,13694137.2782749,14196979.8767638,14702771.55987,15215047.3005622,15740180.8079333,16282885.6640101,115799683.195797
"187","Senegal","LIC","Sub-Saharan Africa","SEN","Sub-Saharan Africa","LIC","Adjusted",46516266.6571579,54443835.2874923,62909722.6454698,72061489.0181936,81802073.8498479,92158957.1507549,103149595.107007,114798372.166438,627840311.882361
"188","Senegal","LIC","Sub-Saharan Africa","SEN","Sub-Saharan Africa","LIC","Baseline",40365524.8566087,41728273.5138759,43153275.3631596,44679318.4513353,46257698.7077739,47893855.3075421,49588337.5618116,51346123.0285118,365012406.790619
"189","Serbia","UMIC","Central and Eastern Europe","SRB","Central and Eastern Europe","UMIC","Adjusted",946080823.89916,988581994.207439,1032125194.76142,1081593621.65255,1130675394.08499,1179510339.94111,1228290887.63136,1276996065.31391,8863854321.49194
"190","Serbia","UMIC","Central and Eastern Europe","SRB","Central and Eastern Europe","UMIC","Baseline",907408106.961659,910347415.956429,912821693.253514,918471870.198851,922689729.511806,925874594.496166,928430095.366489,930559119.10943,7356602624.85435
"191","Sierra Leone","LIC","Sub-Saharan Africa","SLE","Sub-Saharan Africa","LIC","Adjusted",10288849.3379115,12130677.6121381,14071052.5239907,16195779.0371049,18431587.193219,20779297.9867656,23239152.0987061,25811352.7175362,140947748.507372
"192","Sierra Leone","LIC","Sub-Saharan Africa","SLE","Sub-Saharan Africa","LIC","Baseline",8767842.63455256,9001314.88800523,9236257.06665326,9511493.13915959,9787345.32336582,10065003.688589,10345772.8859791,10631138.2032215,77346167.8295261
"193","Solomon Islands","LMIC","Oceania","SLB","Oceania","LMIC","Adjusted",4414504.16104647,4576731.55284011,4745235.14708773,4925932.09174056,5110041.6205337,5298967.28253045,5494185.5880884,5697347.83241892,40262945.2762863
"194","Solomon Islands","LMIC","Oceania","SLB","Oceania","LMIC","Baseline",4396704.6947889,4540822.61967213,4689410.98261783,4847879.89710624,5008007.3372262,5171180.09198478,5338833.26869497,5512510.77861819,39505349.6707092
"195","Somalia","LIC","Sub-Saharan Africa","SOM","Sub-Saharan Africa","LIC","Adjusted",24710661.1964345,28685252.9645859,32892735.7724518,37394211.3258343,42155824.5597187,47183421.8503484,52484052.9289028,58066427.9538537,323572588.55213
"196","Somalia","LIC","Sub-Saharan Africa","SOM","Sub-Saharan Africa","LIC","Baseline",21591012.4394181,22252843.1485311,22935099.9514716,23656768.2244514,24399904.2452563,25163388.6233395,25947285.7736607,26752878.5345453,192699180.940674
"197","South Africa","UMIC","Sub-Saharan Africa","ZAF","Sub-Saharan Africa","UMIC","Adjusted",1864131544.56786,1909630061.71951,1956132520.08981,2008829490.873,2061674894.8747,2114834203.89178,2168429092.89001,2222666202.44905,16306328011.3557
"198","South Africa","UMIC","Sub-Saharan Africa","ZAF","Sub-Saharan Africa","UMIC","Baseline",1863865421.48258,1909360728.02484,1955859962.32281,2008553693.34635,2061395874.65647,2114551974.49378,2168143664.51416,2222377580.70225,16304108899.5432
"199","South Sudan","LIC","Sub-Saharan Africa","SSD","Sub-Saharan Africa","LIC","Adjusted",22406634.6569296,25992259.4377819,29750623.7639095,33754622.5747755,37951908.9265719,42349419.4305603,46959906.8734081,51795531.7440201,290960907.407957
